       fs     200K     300K    400K     500K
   23650 0.07629 0.13935 0.32307 0.90198
   23700 0.07632  0.1394 0.32327 0.90257
   23750 0.07634 0.13945 0.32346 0.90316
   23800 0.07637  0.1395 0.32366 0.90375
   23850  0.0764 0.13955 0.32385 0.90435
   23900 0.07642 0.13961 0.32405 0.90494
   23950 0.07645 0.13966 0.32424 0.90553
   24000 0.07648 0.13971 0.32444 0.90612
   24050 0.07651 0.13976 0.32463 0.90671
   24100 0.07653 0.13981 0.32483 0.90729
   24150 0.07656 0.13986 0.32502 0.90788
   24200 0.07659 0.13991 0.32522 0.90847
   24250 0.07661 0.13996 0.32541 0.90906
   24300 0.07664    0.14 0.32561 0.90964
   24350 0.07667 0.14005  0.3258 0.91023
   24400 0.07669  0.1401 0.32599 0.91081
   24450 0.07672 0.14015 0.32619  0.9114
   24500 0.07675  0.1402 0.32638 0.91198
   24550 0.07678 0.14025 0.32657 0.91257
   24600  0.0768  0.1403 0.32677 0.91315
   24650 0.07683 0.14035 0.32696 0.91373
   24700 0.07686  0.1404 0.32715 0.91431
   24750 0.07688 0.14045 0.32735 0.91489
   24800 0.07691  0.1405 0.32754 0.91547
   24850 0.07694 0.14055 0.32773 0.91605
   24900 0.07696 0.14059 0.32792 0.91663
   24950 0.07699 0.14064 0.32812 0.91721
   25000 0.07702 0.14069 0.32831 0.91779
   25050 0.07704 0.14074  0.3285 0.91837
   25100 0.07707 0.14079 0.32869 0.91894
   25150  0.0771 0.14084 0.32888 0.91952
   25200 0.07712 0.14088 0.32907 0.92009
   25250 0.07715 0.14093 0.32927 0.92067
   25300 0.07718 0.14098 0.32946 0.92124
   25350  0.0772 0.14103 0.32965 0.92182
   25400 0.07723 0.14108 0.32984 0.92239
   25450 0.07726 0.14112 0.33003 0.92296
   25500 0.07728 0.14117 0.33022 0.92353
   25550 0.07731 0.14122 0.33041 0.92411
   25600 0.07734 0.14127  0.3306 0.92468
   25650 0.07736 0.14131 0.33079 0.92525
   25700 0.07739 0.14136 0.33098 0.92582
   25750 0.07742 0.14141 0.33117 0.92639
   25800 0.07744 0.14146 0.33136 0.92695
   25850 0.07747  0.1415 0.33155 0.92752
   25900  0.0775 0.14155 0.33174 0.92809
   25950 0.07752  0.1416 0.33193 0.92866
   26000 0.07755 0.14164 0.33212 0.92922
   26050 0.07758 0.14169 0.33231 0.92979
   26100  0.0776 0.14174  0.3325 0.93035
