fs      200K    300K    400K    500K
16550   0.04882 0.09602 0.15404 0.22428
16600   0.04882 0.09604 0.15406 0.22426
16650   0.04883 0.09606 0.15408 0.22424
16700   0.04883 0.09609 0.1541  0.22421
16750   0.04883 0.09611 0.15412 0.22419
16800   0.04883 0.09614 0.15414 0.22417
16850   0.04883 0.09616 0.15417 0.22415
16900   0.04884 0.09618 0.15419 0.22412
16950   0.04884 0.09621 0.15421 0.2241
17000   0.04884 0.09623 0.15423 0.22408
17050   0.04884 0.09625 0.15425 0.22406
17100   0.04885 0.09628 0.15427 0.22404
17150   0.04885 0.0963  0.15429 0.22401
17200   0.04885 0.09633 0.15432 0.22399
17250   0.04885 0.09635 0.15434 0.22397
17300   0.04885 0.09637 0.15436 0.22395
17350   0.04886 0.0964  0.15438 0.22393
17400   0.04886 0.09642 0.1544  0.22391
17450   0.04886 0.09644 0.15442 0.22389
17500   0.04886 0.09647 0.15444 0.22387
17550   0.04887 0.09649 0.15446 0.22385
17600   0.04887 0.09651 0.15448 0.22383
17650   0.04887 0.09654 0.15451 0.22381
17700   0.04887 0.09656 0.15453 0.22379
17750   0.04887 0.09659 0.15455 0.22377
17800   0.04888 0.09661 0.15457 0.22375
17850   0.04888 0.09663 0.15459 0.22373
17900   0.04888 0.09666 0.15461 0.22371
17950   0.04888 0.09668 0.15463 0.22369
18000   0.04889 0.0967  0.15465 0.22367
18050   0.04889 0.09673 0.15467 0.22365
18100   0.04889 0.09675 0.15469 0.22363
18150   0.04889 0.09678 0.15471 0.22362
18200   0.0489  0.0968  0.15473 0.2236
18250   0.0489  0.09682 0.15475 0.22358
18300   0.0489  0.09685 0.15477 0.22356
18350   0.0489  0.09687 0.15479 0.22354
18400   0.04891 0.09689 0.15481 0.22353
18450   0.04891 0.09692 0.15483 0.22351
18500   0.04891 0.09694 0.15485 0.22349
18550   0.04892 0.09697 0.15487 0.22347
18600   0.04892 0.09699 0.15489 0.22346
18650   0.04892 0.09701 0.15491 0.22344
18700   0.04892 0.09704 0.15493 0.22342
18750   0.04893 0.09706 0.15495 0.22341
18800   0.04893 0.09708 0.15497 0.22339
18850   0.04893 0.09711 0.15499 0.22338
18900   0.04893 0.09713 0.15501 0.22336
18950   0.04894 0.09716 0.15503 0.22334
