fs      200K    300K    400K    500K
23550   0.0378  0.05622 0.08884 0.11502
23600   0.0378  0.05622 0.08888 0.11507
23650   0.0378  0.05623 0.08892 0.11511
23700   0.0378  0.05624 0.08895 0.11515
23750   0.0378  0.05625 0.08899 0.1152
23800   0.0378  0.05626 0.08903 0.11524
23850   0.03781 0.05627 0.08907 0.11529
23900   0.03781 0.05627 0.08911 0.11533
23950   0.03781 0.05628 0.08915 0.11537
24000   0.03781 0.05629 0.08919 0.11542
24050   0.03781 0.0563  0.08923 0.11546
24100   0.03781 0.05631 0.08927 0.11551
24150   0.03782 0.05632 0.08931 0.11555
24200   0.03782 0.05632 0.08934 0.11559
24250   0.03782 0.05633 0.08938 0.11564
24300   0.03782 0.05634 0.08942 0.11568
24350   0.03782 0.05635 0.08946 0.11573
24400   0.03782 0.05636 0.0895  0.11577
24450   0.03782 0.05636 0.08954 0.11581
24500   0.03783 0.05637 0.08957 0.11586
24550   0.03783 0.05638 0.08961 0.1159
24600   0.03783 0.05639 0.08965 0.11595
24650   0.03783 0.0564  0.08969 0.11599
24700   0.03783 0.05641 0.08973 0.11603
24750   0.03783 0.05641 0.08976 0.11608
24800   0.03784 0.05642 0.0898  0.11612
24850   0.03784 0.05643 0.08984 0.11617
24900   0.03784 0.05644 0.08988 0.11621
24950   0.03784 0.05645 0.08992 0.11625
25000   0.03784 0.05645 0.08995 0.1163
25050   0.03784 0.05646 0.08999 0.11634
25100   0.03785 0.05647 0.09003 0.11639
25150   0.03785 0.05648 0.09007 0.11643
25200   0.03785 0.05649 0.0901  0.11648
25250   0.03785 0.0565  0.09014 0.11652
25300   0.03785 0.0565  0.09018 0.11656
25350   0.03785 0.05651 0.09022 0.11661
25400   0.03786 0.05652 0.09025 0.11665
25450   0.03786 0.05653 0.09029 0.1167
25500   0.03786 0.05654 0.09033 0.11674
25550   0.03786 0.05654 0.09036 0.11679
25600   0.03786 0.05655 0.0904  0.11683
25650   0.03786 0.05656 0.09044 0.11687
