   fs     GO-O  GO-O-SV GO-O-DV GO-O-SW
 23450  0.09928  0.0916 0.10452 0.12152
 23500  0.09931 0.09163 0.10455 0.12156
 23550  0.09933 0.09165 0.10459  0.1216
 23600  0.09935 0.09168 0.10463 0.12164
 23650  0.09938 0.09171 0.10467 0.12168
 23700   0.0994 0.09173 0.10471 0.12172
 23750  0.09942 0.09176 0.10474 0.12176
 23800  0.09945 0.09178 0.10478  0.1218
 23850  0.09947 0.09181 0.10482 0.12183
 23900  0.09949 0.09184 0.10486 0.12187
 23950  0.09952 0.09186 0.10489 0.12191
 24000  0.09954 0.09189 0.10493 0.12195
 24050  0.09956 0.09191 0.10497 0.12199
 24100  0.09959 0.09194 0.10501 0.12203
 24150  0.09961 0.09197 0.10504 0.12207
 24200  0.09963 0.09199 0.10508 0.12211
 24250  0.09966 0.09202 0.10512 0.12215
 24300  0.09968 0.09205 0.10516 0.12219
 24350  0.09971 0.09207 0.10519 0.12223
 24400  0.09973  0.0921 0.10523 0.12227
 24450  0.09975 0.09212 0.10527 0.12231
 24500  0.09978 0.09215  0.1053 0.12234
 24550   0.0998 0.09218 0.10534 0.12238
 24600  0.09982  0.0922 0.10538 0.12242
 24650  0.09985 0.09223 0.10541 0.12246
 24700  0.09987 0.09226 0.10545  0.1225
 24750  0.09989 0.09228 0.10549 0.12254
 24800  0.09992 0.09231 0.10552 0.12258
 24850  0.09994 0.09233 0.10556 0.12262
 24900  0.09996 0.09236  0.1056 0.12266
 24950  0.09999 0.09239 0.10563  0.1227
 25000  0.10001 0.09241 0.10567 0.12273
 25050  0.10004 0.09244 0.10571 0.12277
 25100  0.10006 0.09247 0.10574 0.12281
 25150  0.10008 0.09249 0.10578 0.12285
 25200  0.10011 0.09252 0.10582 0.12289
 25250  0.10013 0.09255 0.10585 0.12293
 25300  0.10015 0.09257 0.10589 0.12297
 25350  0.10018  0.0926 0.10592  0.123
 25400   0.1002 0.09263 0.10596 0.12304
 25450  0.10022 0.09265  0.106  0.12308
 25500  0.10025 0.09268 0.10603 0.12312
 25550  0.10027 0.09271 0.10607 0.12316
 25600  0.10029 0.09273  0.1061  0.1232
 25650  0.10032 0.09276 0.10614 0.12324
 25700  0.10034 0.09279 0.10617 0.12327
 25750  0.10036 0.09281 0.10621 0.12331
 25800  0.10039 0.09284 0.10625 0.12335
 25850  0.10041 0.09287 0.10628 0.12339
 25900  0.10043 0.09289 0.10632 0.12343
 25950  0.10046 0.09292 0.10635 0.12347
 26000  0.10048 0.09295 0.10639  0.1235
 26050  0.10051 0.09297 0.10642 0.12354
 26100  0.10053  0.093  0.10646 0.12358
 26150  0.10055 0.09303 0.10649 0.12362
 26200  0.10058 0.09306 0.10653 0.12366
 26250   0.1006 0.09308 0.10656  0.1237
 26300  0.10062 0.09311  0.1066 0.12373
 26350  0.10065 0.09314 0.10663 0.12377
 26400  0.10067 0.09316 0.10667 0.12381
 26450  0.10069 0.09319  0.1067 0.12385
 26500  0.10072 0.09322 0.10674 0.12389
 26550  0.10074 0.09324 0.10677 0.12392
 26600  0.10076 0.09327 0.10681 0.12396
 26650  0.10079  0.0933 0.10684  0.124
 26700  0.10081 0.09333 0.10687 0.12404
 26750  0.10083 0.09335 0.10691 0.12408
 26800  0.10086 0.09338 0.10694 0.12411
 26850  0.10088 0.09341 0.10698 0.12415
 26900   0.1009 0.09343 0.10701 0.12419
 26950  0.10093 0.09346 0.10705 0.12423
 27000  0.10095 0.09349 0.10708 0.12427
 27050  0.10097 0.09352 0.10711  0.1243
 27100   0.101  0.09354 0.10715 0.12434
 27150  0.10102 0.09357 0.10718 0.12438
 27200  0.10105  0.0936 0.10722 0.12442
 27250  0.10107 0.09362 0.10725 0.12445
 27300  0.10109 0.09365 0.10728 0.12449
 27350  0.10112 0.09368 0.10732 0.12453
 27400  0.10114 0.09371 0.10735 0.12457
 27450  0.10116 0.09373 0.10739  0.1246
 27500  0.10119 0.09376 0.10742 0.12464
 27550  0.10121 0.09379 0.10745 0.12468
 27600  0.10123 0.09382 0.10749 0.12472
 27650  0.10126 0.09384 0.10752 0.12475
 27700  0.10128 0.09387 0.10755 0.12479
 27750   0.1013  0.0939 0.10759 0.12483
 27800  0.10133 0.09393 0.10762 0.12487
 27850  0.10135 0.09395 0.10765  0.1249
 27900  0.10137 0.09398 0.10769 0.12494
 27950   0.1014 0.09401 0.10772 0.12498
 28000  0.10142 0.09404 0.10775 0.12502
 28050  0.10144 0.09406 0.10778 0.12505
 28100  0.10147 0.09409 0.10782 0.12509
 28150  0.10149 0.09412 0.10785 0.12513
 28200  0.10151 0.09415 0.10788 0.12516
 28250  0.10154 0.09417 0.10792  0.1252
 28300  0.10156  0.0942 0.10795 0.12524
 28350  0.10158 0.09423 0.10798 0.12528
 28400  0.10161 0.09426 0.10801 0.12531
 28450  0.10163 0.09429 0.10805 0.12535
 28500  0.10165 0.09431 0.10808 0.12539
 28550  0.10168 0.09434 0.10811 0.12542
 28600   0.1017 0.09437 0.10814 0.12546
 28650  0.10173  0.0944 0.10818  0.1255
 28700  0.10175 0.09442 0.10821 0.12553
 28750  0.10177 0.09445 0.10824 0.12557
 28800   0.1018 0.09448 0.10827 0.12561
 28850  0.10182 0.09451  0.1083 0.12565
