   fs    GO-OH  GO-OH-SV GO-OH-DV GO-OH-SW
 23200  0.07144 0.09233 0.07952 0.06776
 23250  0.07146  0.0924 0.07954 0.06779
 23300  0.07149 0.09247 0.07956 0.06782
 23350  0.07151 0.09254 0.07958 0.06785
 23400  0.07153 0.09262 0.07959 0.06788
 23450  0.07156 0.09269 0.07961 0.06791
 23500  0.07158 0.09276 0.07963 0.06794
 23550   0.0716 0.09283 0.07965 0.06797
 23600  0.07163  0.0929 0.07967 0.06801
 23650  0.07165 0.09297 0.07969 0.06804
 23700  0.07167 0.09304 0.07971 0.06807
 23750  0.07169 0.09312 0.07972  0.0681
 23800  0.07172 0.09319 0.07974 0.06813
 23850  0.07174 0.09326 0.07976 0.06816
 23900  0.07176 0.09333 0.07978 0.06819
 23950  0.07178  0.0934  0.0798 0.06822
 24000  0.07181 0.09347 0.07982 0.06825
 24050  0.07183 0.09354 0.07983 0.06828
 24100  0.07185 0.09361 0.07985 0.06831
 24150  0.07187 0.09368 0.07987 0.06834
 24200   0.0719 0.09375 0.07989 0.06837
 24250  0.07192 0.09382 0.07991  0.0684
 24300  0.07194 0.09389 0.07993 0.06843
 24350  0.07196 0.09396 0.07995 0.06846
 24400  0.07199 0.09403 0.07996 0.06849
 24450  0.07201  0.0941 0.07998 0.06852
 24500  0.07203 0.09417   0.08  0.06855
 24550  0.07205 0.09424 0.08002 0.06858
 24600  0.07207 0.09431 0.08004 0.06861
 24650   0.0721 0.09438 0.08006 0.06864
 24700  0.07212 0.09445 0.08007 0.06867
 24750  0.07214 0.09452 0.08009  0.0687
 24800  0.07216 0.09459 0.08011 0.06873
 24850  0.07218 0.09466 0.08013 0.06876
 24900  0.07221 0.09473 0.08015 0.06879
 24950  0.07223 0.09479 0.08017 0.06882
 25000  0.07225 0.09486 0.08019 0.06885
 25050  0.07227 0.09493  0.0802 0.06888
 25100  0.07229  0.095  0.08022 0.06891
 25150  0.07231 0.09507 0.08024 0.06894
 25200  0.07234 0.09514 0.08026 0.06897
 25250  0.07236 0.09521 0.08028  0.069
 25300  0.07238 0.09527  0.0803 0.06903
 25350   0.0724 0.09534 0.08032 0.06906
 25400  0.07242 0.09541 0.08033 0.06909
 25450  0.07244 0.09548 0.08035 0.06912
 25500  0.07246 0.09554 0.08037 0.06915
 25550  0.07249 0.09561 0.08039 0.06918
 25600  0.07251 0.09568 0.08041 0.06921
 25650  0.07253 0.09575 0.08043 0.06924
 25700  0.07255 0.09581 0.08045 0.06927
 25750  0.07257 0.09588 0.08046  0.0693
 25800  0.07259 0.09595 0.08048 0.06933
 25850  0.07261 0.09601  0.0805 0.06936
 25900  0.07263 0.09608 0.08052 0.06939
 25950  0.07265 0.09615 0.08054 0.06942
 26000  0.07267 0.09621 0.08056 0.06945
 26050  0.07269 0.09628 0.08058 0.06947
 26100  0.07272 0.09635 0.08059  0.0695
 26150  0.07274 0.09641 0.08061 0.06953
 26200  0.07276 0.09648 0.08063 0.06956
 26250  0.07278 0.09655 0.08065 0.06959
 26300   0.0728 0.09661 0.08067 0.06962
 26350  0.07282 0.09668 0.08069 0.06965
 26400  0.07284 0.09674 0.08071 0.06968
 26450  0.07286 0.09681 0.08072 0.06971
 26500  0.07288 0.09687 0.08074 0.06974
 26550   0.0729 0.09694 0.08076 0.06977
 26600  0.07292  0.097  0.08078  0.0698
 26650  0.07294 0.09707  0.0808 0.06982
 26700  0.07296 0.09714 0.08082 0.06985
 26750  0.07298  0.0972 0.08084 0.06988
 26800   0.073  0.09726 0.08086 0.06991
 26850  0.07302 0.09733 0.08087 0.06994
 26900  0.07304 0.09739 0.08089 0.06997
 26950  0.07306 0.09746 0.08091   0.07
 27000  0.07308 0.09752 0.08093 0.07003
 27050   0.0731 0.09759 0.08095 0.07006
 27100  0.07312 0.09765 0.08097 0.07008
 27150  0.07314 0.09772 0.08099 0.07011
 27200  0.07316 0.09778 0.08101 0.07014
 27250  0.07318 0.09784 0.08102 0.07017
 27300   0.0732 0.09791 0.08104  0.0702
 27350  0.07322 0.09797 0.08106 0.07023
 27400  0.07324 0.09804 0.08108 0.07026
 27450  0.07326  0.0981  0.0811 0.07028
 27500  0.07328 0.09816 0.08112 0.07031
 27550   0.0733 0.09823 0.08114 0.07034
 27600  0.07332 0.09829 0.08116 0.07037
 27650  0.07334 0.09835 0.08117  0.0704
 27700  0.07336 0.09841 0.08119 0.07043
 27750  0.07338 0.09848 0.08121 0.07046
 27800   0.0734 0.09854 0.08123 0.07048
 27850  0.07341  0.0986 0.08125 0.07051
 27900  0.07343 0.09867 0.08127 0.07054
 27950  0.07345 0.09873 0.08129 0.07057
 28000  0.07347 0.09879 0.08131  0.0706
 28050  0.07349 0.09885 0.08132 0.07063
 28100  0.07351 0.09891 0.08134 0.07065
 28150  0.07353 0.09898 0.08136 0.07068
 28200  0.07355 0.09904 0.08138 0.07071
 28250  0.07357  0.0991  0.0814 0.07074
 28300  0.07359 0.09916 0.08142 0.07077
 28350   0.0736 0.09922 0.08144 0.07079
 28400  0.07362 0.09929 0.08146 0.07082
 28450  0.07364 0.09935 0.08148 0.07085
 28500  0.07366 0.09941 0.08149 0.07088
 28550  0.07368 0.09947 0.08151 0.07091
 28600   0.0737 0.09953 0.08153 0.07093
 28650  0.07372 0.09959 0.08155 0.07096
 28700  0.07374 0.09965 0.08157 0.07099
 28750  0.07375 0.09971 0.08159 0.07102
 28800  0.07377 0.09977 0.08161 0.07105
