   fs      Gr     GO-O   GO-OH  GO-COOH
 17550  0.13254 0.09649 0.06854 0.05518
 17600  0.13261 0.09651 0.06857 0.05519
 17650  0.13267 0.09654  0.0686  0.0552
 17700  0.13273 0.09656 0.06863 0.05521
 17750  0.13279 0.09659 0.06866 0.05522
 17800  0.13285 0.09661 0.06868 0.05523
 17850  0.13291 0.09663 0.06871 0.05524
 17900  0.13297 0.09666 0.06874 0.05524
 17950  0.13303 0.09668 0.06877 0.05525
 18000  0.13309  0.0967 0.06879 0.05526
 18050  0.13315 0.09673 0.06882 0.05527
 18100  0.13321 0.09675 0.06885 0.05528
 18150  0.13327 0.09678 0.06888 0.05529
 18200  0.13333  0.0968  0.0689  0.0553
 18250  0.13339 0.09682 0.06893 0.05531
 18300  0.13345 0.09685 0.06896 0.05531
 18350  0.13351 0.09687 0.06899 0.05532
 18400  0.13357 0.09689 0.06901 0.05533
 18450  0.13363 0.09692 0.06904 0.05534
 18500  0.13369 0.09694 0.06907 0.05535
 18550  0.13375 0.09697  0.0691 0.05536
 18600   0.1338 0.09699 0.06912 0.05537
 18650  0.13386 0.09701 0.06915 0.05538
 18700  0.13392 0.09704 0.06918 0.05539
 18750  0.13398 0.09706  0.0692 0.05539
 18800  0.13404 0.09708 0.06923  0.0554
 18850   0.1341 0.09711 0.06926 0.05541
 18900  0.13416 0.09713 0.06929 0.05542
 18950  0.13422 0.09716 0.06931 0.05543
 19000  0.13428 0.09718 0.06934 0.05544
 19050  0.13433  0.0972 0.06937 0.05545
 19100  0.13439 0.09723 0.06939 0.05546
 19150  0.13445 0.09725 0.06942 0.05546
 19200  0.13451 0.09727 0.06945 0.05547
 19250  0.13457  0.0973 0.06947 0.05548
 19300  0.13462 0.09732  0.0695 0.05549
 19350  0.13468 0.09734 0.06953  0.0555
 19400  0.13474 0.09737 0.06955 0.05551
 19450   0.1348 0.09739 0.06958 0.05552
 19500  0.13486 0.09742 0.06961 0.05553
 19550  0.13491 0.09744 0.06963 0.05553
 19600  0.13497 0.09746 0.06966 0.05554
 19650  0.13503 0.09749 0.06968 0.05555
 19700  0.13509 0.09751 0.06971 0.05556
 19750  0.13514 0.09753 0.06974 0.05557
 19800   0.1352 0.09756 0.06976 0.05558
 19850  0.13526 0.09758 0.06979 0.05559
 19900  0.13531  0.0976 0.06982  0.0556
 19950  0.13537 0.09763 0.06984  0.0556
 20000  0.13543 0.09765 0.06987 0.05561
 20050  0.13548 0.09768 0.06989 0.05562
 20100  0.13554  0.0977 0.06992 0.05563
 20150   0.1356 0.09772 0.06994 0.05564
 20200  0.13565 0.09775 0.06997 0.05565
 20250  0.13571 0.09777   0.07  0.05566
 20300  0.13577 0.09779 0.07002 0.05567
 20350  0.13582 0.09782 0.07005 0.05567
 20400  0.13588 0.09784 0.07007 0.05568
 20450  0.13594 0.09787  0.0701 0.05569
 20500  0.13599 0.09789 0.07012  0.0557
 20550  0.13605 0.09791 0.07015 0.05571
 20600   0.1361 0.09794 0.07018 0.05572
 20650  0.13616 0.09796  0.0702 0.05573
 20700  0.13622 0.09798 0.07023 0.05573
 20750  0.13627 0.09801 0.07025 0.05574
 20800  0.13633 0.09803 0.07028 0.05575
 20850  0.13638 0.09805  0.0703 0.05576
 20900  0.13644 0.09808 0.07033 0.05577
 20950  0.13649  0.0981 0.07035 0.05578
 21000  0.13655 0.09813 0.07038 0.05579
 21050   0.1366 0.09815  0.0704 0.05579
 21100  0.13666 0.09817 0.07043  0.0558
 21150  0.13671  0.0982 0.07045 0.05581
 21200  0.13677 0.09822 0.07048 0.05582
 21250  0.13682 0.09824  0.0705 0.05583
 21300  0.13688 0.09827 0.07053 0.05584
 21350  0.13693 0.09829 0.07055 0.05585
 21400  0.13699 0.09831 0.07058 0.05585
 21450  0.13704 0.09834  0.0706 0.05586
 21500  0.13709 0.09836 0.07063 0.05587
 21550  0.13715 0.09839 0.07065 0.05588
 21600   0.1372 0.09841 0.07068 0.05589
 21650  0.13726 0.09843  0.0707  0.0559
 21700  0.13731 0.09846 0.07073 0.05591
 21750  0.13737 0.09848 0.07075 0.05591
 21800  0.13742  0.0985 0.07077 0.05592
 21850  0.13747 0.09853  0.0708 0.05593
 21900  0.13753 0.09855 0.07082 0.05594
 21950  0.13758 0.09857 0.07085 0.05595
 22000  0.13763  0.0986 0.07087 0.05596
 22050  0.13769 0.09862  0.0709 0.05596
 22100  0.13774 0.09864 0.07092 0.05597
 22150  0.13779 0.09867 0.07094 0.05598
 22200  0.13785 0.09869 0.07097 0.05599
 22250   0.1379 0.09872 0.07099  0.056
 22300  0.13795 0.09874 0.07102 0.05601
 22350  0.13801 0.09876 0.07104 0.05602
 22400  0.13806 0.09879 0.07106 0.05602
 22450  0.13811 0.09881 0.07109 0.05603
 22500  0.13816 0.09883 0.07111 0.05604
 22550  0.13822 0.09886 0.07114 0.05605
 22600  0.13827 0.09888 0.07116 0.05606
 22650  0.13832  0.0989 0.07118 0.05607
 22700  0.13837 0.09893 0.07121 0.05607
 22750  0.13843 0.09895 0.07123 0.05608
 22800  0.13848 0.09898 0.07125 0.05609
 22850  0.13853  0.099  0.07128  0.0561
 22900  0.13858 0.09902  0.0713 0.05611
 22950  0.13863 0.09905 0.07132 0.05612
 23000  0.13869 0.09907 0.07135 0.05612
 23050  0.13874 0.09909 0.07137 0.05613
 23100  0.13879 0.09912 0.07139 0.05614
 23150  0.13884 0.09914 0.07142 0.05615
 23200  0.13889 0.09916 0.07144 0.05616
 23250  0.13894 0.09919 0.07146 0.05617
 23300   0.139  0.09921 0.07149 0.05617
 23350  0.13905 0.09923 0.07151 0.05618
 23400   0.1391 0.09926 0.07153 0.05619
 23450  0.13915 0.09928 0.07156  0.0562
 23500   0.1392 0.09931 0.07158 0.05621
 23550  0.13925 0.09933  0.0716 0.05622
 23600   0.1393 0.09935 0.07163 0.05622
 23650  0.13935 0.09938 0.07165 0.05623
 23700   0.1394  0.0994 0.07167 0.05624
 23750  0.13945 0.09942 0.07169 0.05625
 23800   0.1395 0.09945 0.07172 0.05626
 23850  0.13955 0.09947 0.07174 0.05627
 23900  0.13961 0.09949 0.07176 0.05627
 23950  0.13966 0.09952 0.07178 0.05628
 24000  0.13971 0.09954 0.07181 0.05629
 24050  0.13976 0.09956 0.07183  0.0563
 24100  0.13981 0.09959 0.07185 0.05631
 24150  0.13986 0.09961 0.07187 0.05632
 24200  0.13991 0.09963  0.0719 0.05632
 24250  0.13996 0.09966 0.07192 0.05633
 24300    0.14  0.09968 0.07194 0.05634
 24350  0.14005 0.09971 0.07196 0.05635
 24400   0.1401 0.09973 0.07199 0.05636
 24450  0.14015 0.09975 0.07201 0.05636
 24500   0.1402 0.09978 0.07203 0.05637
 24550  0.14025  0.0998 0.07205 0.05638
 24600   0.1403 0.09982 0.07207 0.05639
 24650  0.14035 0.09985  0.0721  0.0564
 24700   0.1404 0.09987 0.07212 0.05641
 24750  0.14045 0.09989 0.07214 0.05641
 24800   0.1405 0.09992 0.07216 0.05642
 24850  0.14055 0.09994 0.07218 0.05643
 24900  0.14059 0.09996 0.07221 0.05644
 24950  0.14064 0.09999 0.07223 0.05645
 25000  0.14069 0.10001 0.07225 0.05645
 25050  0.14074 0.10004 0.07227 0.05646
 25100  0.14079 0.10006 0.07229 0.05647
 25150  0.14084 0.10008 0.07231 0.05648
 25200  0.14088 0.10011 0.07234 0.05649
 25250  0.14093 0.10013 0.07236  0.0565
 25300  0.14098 0.10015 0.07238  0.0565
 25350  0.14103 0.10018  0.0724 0.05651
 25400  0.14108  0.1002 0.07242 0.05652
 25450  0.14112 0.10022 0.07244 0.05653
 25500  0.14117 0.10025 0.07246 0.05654
 25550  0.14122 0.10027 0.07249 0.05654
 25600  0.14127 0.10029 0.07251 0.05655
 25650  0.14131 0.10032 0.07253 0.05656
 25700  0.14136 0.10034 0.07255 0.05657
 25750  0.14141 0.10036 0.07257 0.05658
 25800  0.14146 0.10039 0.07259 0.05658
 25850   0.1415 0.10041 0.07261 0.05659
 25900  0.14155 0.10043 0.07263  0.0566
 25950   0.1416 0.10046 0.07265 0.05661
 26000  0.14164 0.10048 0.07267 0.05662
 26050  0.14169 0.10051 0.07269 0.05662
 26100  0.14174 0.10053 0.07272 0.05663
 26150  0.14178 0.10055 0.07274 0.05664
 26200  0.14183 0.10058 0.07276 0.05665
 26250  0.14188  0.1006 0.07278 0.05666
 26300  0.14192 0.10062  0.0728 0.05666
 26350  0.14197 0.10065 0.07282 0.05667
 26400  0.14202 0.10067 0.07284 0.05668
 26450  0.14206 0.10069 0.07286 0.05669
 26500  0.14211 0.10072 0.07288  0.0567
 26550  0.14215 0.10074  0.0729  0.0567
 26600   0.1422 0.10076 0.07292 0.05671
 26650  0.14225 0.10079 0.07294 0.05672
 26700  0.14229 0.10081 0.07296 0.05673
 26750  0.14234 0.10083 0.07298 0.05674
 26800  0.14238 0.10086  0.073  0.05674
 26850  0.14243 0.10088 0.07302 0.05675
 26900  0.14247  0.1009 0.07304 0.05676
 26950  0.14252 0.10093 0.07306 0.05677
 27000  0.14256 0.10095 0.07308 0.05678
 27050  0.14261 0.10097  0.0731 0.05678
 27100  0.14265  0.101  0.07312 0.05679
 27150   0.1427 0.10102 0.07314  0.0568
 27200  0.14274 0.10105 0.07316 0.05681
 27250  0.14279 0.10107 0.07318 0.05682
 27300  0.14283 0.10109  0.0732 0.05682
 27350  0.14288 0.10112 0.07322 0.05683
 27400  0.14292 0.10114 0.07324 0.05684
 27450  0.14297 0.10116 0.07326 0.05685
 27500  0.14301 0.10119 0.07328 0.05686
 27550  0.14305 0.10121  0.0733 0.05686
 27600   0.1431 0.10123 0.07332 0.05687
 27650  0.14314 0.10126 0.07334 0.05688
 27700  0.14319 0.10128 0.07336 0.05689
 27750  0.14323  0.1013 0.07338 0.05689
 27800  0.14327 0.10133  0.0734  0.0569
 27850  0.14332 0.10135 0.07341 0.05691
 27900  0.14336 0.10137 0.07343 0.05692
 27950  0.14341  0.1014 0.07345 0.05693
 28000  0.14345 0.10142 0.07347 0.05693
 28050  0.14349 0.10144 0.07349 0.05694
 28100  0.14354 0.10147 0.07351 0.05695
 28150  0.14358 0.10149 0.07353 0.05696
 28200  0.14362 0.10151 0.07355 0.05697
 28250  0.14367 0.10154 0.07357 0.05697
 28300  0.14371 0.10156 0.07359 0.05698
 28350  0.14375 0.10158  0.0736 0.05699
 28400  0.14379 0.10161 0.07362  0.057
 28450  0.14384 0.10163 0.07364  0.057
 28500  0.14388 0.10165 0.07366 0.05701
 28550  0.14392 0.10168 0.07368 0.05702
 28600  0.14396  0.1017  0.0737 0.05703
 28650  0.14401 0.10173 0.07372 0.05704
 28700  0.14405 0.10175 0.07374 0.05704
 28750  0.14409 0.10177 0.07375 0.05705
 28800  0.14413  0.1018 0.07377 0.05706
 28850  0.14418 0.10182 0.07379 0.05707
 28900  0.14422 0.10184 0.07381 0.05707
